contract_project_id,contract_id,project_number,project_control_number,project_name,work_type,county_region,route,location,project_award_amount
sd_sddot_20190116_item_001_project_001,sd_sddot_20190116_item_001,NH 0010(00)17,04UQ,Structure Repair,Structure Repair,Brown,,"US12 WB, 3.5 miles west of Groton",
sd_sddot_20190116_item_002_project_001,sd_sddot_20190116_item_002,NH 0012(176)399,03U2,Structure Repair,Structure Repair,"Grant, Hamlin",,"US12 0.6 miles east of SD109 over the Whetstone River Diversion Channel & SD22, 3.2 miles east of US81 over the Big Sioux River",
sd_sddot_20190116_item_002_project_002,sd_sddot_20190116_item_002,P 0022(41)352,03U3,Structure Repair,Structure Repair,"Grant, Hamlin",,"US12 0.6 miles east of SD109 over the Whetstone River Diversion Channel & SD22, 3.2 miles east of US81 over the Big Sioux River",
sd_sddot_20190116_item_003_project_001,sd_sddot_20190116_item_003,NH-EM 0083(74)55,036E,"Grading, Structures, Interim Surfacing","Grading, Structures, Interim Surfacing","Jones, Mellette",,US83 from north of the Mellette/Jones Co. Line to south of Murdo,
sd_sddot_20190116_item_004_project_001,sd_sddot_20190116_item_004,BRO 8042(09),6093,Str (2-12'x7' RCBC) & Appr Grading,Str (2-12'x7' RCBC) & Appr Grading,Lincoln,,Structure 8 miles south & 1.6 miles east of Lennox over Snake Creek,
sd_sddot_20190116_item_005_project_001,sd_sddot_20190116_item_005,NH 014A(14)38,04FX,Structure & Approach Grading,Structure & Approach Grading,Lawrence,,"US14A, in Central City over Deadwood Creek",
sd_sddot_20190116_item_006_project_001,sd_sddot_20190116_item_006,IM-NH-P 0021(151),041F,Culvert Repair,Culvert Repair,"Davison, McCook Project Withdrawn From 1/16/2019 Letting",,Various Locations in the Mitchell Area,
sd_sddot_20190116_item_007_project_001,sd_sddot_20190116_item_007,P 0034(179)9,05EW,"Mill & AC Resurfacing, Pipe Work","Mill & AC Resurfacing, Pipe Work","Butte, Lawrence",,"SD34 from US85 to I90, & I90 ramps at Exit 23",
sd_sddot_20190116_item_007_project_002,sd_sddot_20190116_item_007,IM 0901(197)23,05F2,"Mill & AC Resurfacing, Pipe Work","Mill & AC Resurfacing, Pipe Work","Butte, Lawrence",,"SD34 from US85 to I90, & I90 ramps at Exit 23",
sd_sddot_20190116_item_008_project_001,sd_sddot_20190116_item_008,NH 0016(90)37,068L,Cold Mill AC & AC Resurfacing,Cold Mill AC & AC Resurfacing,Pennington,,"US16 from SD244 to south of the US16B south Jct in Hill City, & US16 between Hill City and Three Forks",
sd_sddot_20190116_item_009_project_001,sd_sddot_20190116_item_009,P 0028(38)341,05EV,"Cold Mill AC, AC Resurf, & Pipe Repair","Cold Mill AC, AC Resurf, & Pipe Repair",Hamlin,,SD28 from US81 east through Estelline,
sd_sddot_20190123_item_001_project_001,sd_sddot_20190123_item_001,IM-FP 2292(06)5,4778,Interchange Improv & High Frict. Treatmt,Interchange Improv & High Frict. Treatmt,Minnehaha,,I229 at Exit 5 (26th St. Intch/Yeager Rd) & the curve at Cliff Ave on I229 in Sioux Falls,
sd_sddot_20190123_item_001_project_002,sd_sddot_20190123_item_001,PH 0229(05)4,0727,Interchange Improv & High Frict. Treatmt,Interchange Improv & High Frict. Treatmt,Minnehaha,,I229 at Exit 5 (26th St. Intch/Yeager Rd) & the curve at Cliff Ave on I229 in Sioux Falls,
sd_sddot_20190123_item_002_project_001,sd_sddot_20190123_item_002,P 1358(05),05JE,Urban Reconstruction w/Structures,Urban Reconstruction w/Structures,Minnehaha,,"26th Street from Cleveland Avenue to 1,050 feet West of Southeastern Avenue in Sioux Falls",
sd_sddot_20190123_item_002_project_002,sd_sddot_20190123_item_002,P 1225(06),05JF,Urban Reconstruction w/Structures,Urban Reconstruction w/Structures,Minnehaha,,"26th Street from Cleveland Avenue to 1,050 feet West of Southeastern Avenue in Sioux Falls",
sd_sddot_20190123_item_003_project_001,sd_sddot_20190123_item_003,CIP 11016( ),X04T,Water Main & Sanitary Sewer,Water Main & Sanitary Sewer,Minnehaha,,26th Street and Southeastern Avenue in Sioux Falls,
sd_sddot_20190206_item_001_project_001,sd_sddot_20190206_item_001,BRO 8056(00),02E3,Structure & Approach Grading,Structure & Approach Grading,Sanborn,,Structure 0.5 miles east & 3.4 miles north of Artesian over a creek,
sd_sddot_20190206_item_002_project_001,sd_sddot_20190206_item_002,NH 0281(116)173,05U2,"Mill AC, AC Resurf, Culverts & End Blks","Mill AC, AC Resurf, Culverts & End Blks","Brown, Spink",,"US281 NBL and SBL from SD20 to Aberdeen, and from Old US281 south of Wylie Park to End of Div Hwy; & Structure 1.1 miles south of US12 over Foot Creek",
sd_sddot_20190206_item_003_project_001,sd_sddot_20190206_item_003,NH 0115(48)76,0214,Reconstruction,Reconstruction,Lincoln,,SD115 from the Harrisburg corner (273rd Street) to 85th St in Sioux Falls,
sd_sddot_20190206_item_004_project_001,sd_sddot_20190206_item_004,800813 ( ),X02Y,Watermain Relocation,Watermain Relocation,Lincoln,,SD115 from the Harrisburg corner (273rd Street) to 85th St. in Sioux Falls.,
sd_sddot_20190206_item_005_project_001,sd_sddot_20190206_item_005,CIP 11013( ),X03Y,Watermain Installation,Watermain Installation,Lincoln,,SD115 from 85th Street to Co Hwy 106 (271st St),
sd_sddot_20190206_item_006_project_001,sd_sddot_20190206_item_006,PH 014A(19)31,04XJ,Grading and AC Surfacing,Grading and AC Surfacing,Lawrence,,"US14A, 2 miles east of US85 (Cheyenne Crossing)",
sd_sddot_20190206_item_007_project_001,sd_sddot_20190206_item_007,IM 0295(42)140,04W2,Structure Repair,Structure Repair,"Brookings, Deuel",,I29 at the SD30 Interchange & SD28 Interchange,
sd_sddot_20190206_item_008_project_001,sd_sddot_20190206_item_008,NH-P 0011(80),040T,Culvert Repair,Culvert Repair,"Brown, Day, Marshall",,Various Locations in the Aberdeen Area,
sd_sddot_20190206_item_009_project_001,sd_sddot_20190206_item_009,PH 0040(220),04HW,Cold Applied Plastic Pavement Marking,Cold Applied Plastic Pavement Marking,"Custer, Meade, Pennington",,Various locations on the State System in the Rapid City Region,
sd_sddot_20190206_item_010_project_001,sd_sddot_20190206_item_010,NH 0018(218)339,06CQ,Cold Mill AC & AC Resurfacing,Cold Mill AC & AC Resurfacing,Charles Mix,,US18 from Lake Andes to the SD50 E Jct & SD46 from Pickstown to Wagner,
sd_sddot_20190206_item_010_project_002,sd_sddot_20190206_item_010,NH 0046(72)277,067X,Cold Mill AC & AC Resurfacing,Cold Mill AC & AC Resurfacing,Charles Mix,,US18 from Lake Andes to the SD50 E Jct & SD46 from Pickstown to Wagner,
sd_sddot_20190206_item_011_project_001,sd_sddot_20190206_item_011,NH-P 0043(22),05Y3,Asphalt Surface Treatment,Asphalt Surface Treatment,"Custer, Oglala Lakota, Pennington",,Various Routes in the Custer Area,
sd_sddot_20190206_item_012_project_001,sd_sddot_20190206_item_012,P 0033(28),05YA,Asphalt Surface Treatment,Asphalt Surface Treatment,"Jackson, Lyman, Mellette",,Various Routes in the Winner Area,
sd_sddot_20190206_item_013_project_001,sd_sddot_20190206_item_013,PH 0040(229),04Y1,Corridor Signing,Corridor Signing,"Jackson, Meade, Pennington",,Interstate 90 from east of Sturgis to Cactus Flats,
sd_sddot_20190220_item_001_project_001,sd_sddot_20190220_item_001,NH-PS 0044(00)44,04TG,ADA Upgrades & Signal Modification,ADA Upgrades & Signal Modification,Pennington,,"SD44 (Omaha St) from 11th Street to I-190 & from Mt Rushmore Rd to Brennan Ave, and US16 from I-190 to Mt Rushmore Rd, & Omaha Street to Kansas City St in Rapid City",
sd_sddot_20190220_item_001_project_002,sd_sddot_20190220_item_001,NH 0016(00)68,05JH,ADA Upgrades & Signal Modification,ADA Upgrades & Signal Modification,Pennington,,"SD44 (Omaha St) from 11th Street to I-190 & from Mt Rushmore Rd to Brennan Ave, and US16 from I-190 to Mt Rushmore Rd, & Omaha Street to Kansas City St in Rapid City",
sd_sddot_20190220_item_002_project_001,sd_sddot_20190220_item_002,NH 0212(168)376,027Q,Urban Reconstruction & Str Replacement,Urban Reconstruction & Str Replacement,Codington,,US212 from east of SD20 to west of US81 in Watertown,
sd_sddot_20190220_item_003_project_001,sd_sddot_20190220_item_003,2122081 ( ),X04N,Watermain Installation,Watermain Installation,Codington,,US212 from east of SD20 to west of US81 in Watertown,
sd_sddot_20190220_item_004_project_001,sd_sddot_20190220_item_004,1802 ( ),X04X,Sanitary Sewer Replacement Crossing Big,Sanitary Sewer Replacement Crossing Big,Codington,,US212 Adjacent to Big Sioux River Bridge in Watertown,
sd_sddot_20190220_item_005_project_001,sd_sddot_20190220_item_005,PH 0034(188)368,05W8,Intersection Improvements,Intersection Improvements,"Lake, Miner",,"SD34 Intersections with 437th Ave, 461st Ave, 462nd Ave (Wentworth Corner), 463rd Ave, 464th Ave (Chester Corner) & Dakota Ethanol Plant; & SD19 Intersection with 236th (Hillside Corner)",
sd_sddot_20190220_item_005_project_002,sd_sddot_20190220_item_005,PH 0019(44)95,060F,Intersection Improvements,Intersection Improvements,"Lake, Miner",,"SD34 Intersections with 437th Ave, 461st Ave, 462nd Ave (Wentworth Corner), 463rd Ave, 464th Ave (Chester Corner) & Dakota Ethanol Plant; & SD19 Intersection with 236th (Hillside Corner)",
sd_sddot_20190220_item_006_project_001,sd_sddot_20190220_item_006,BRO 8044(08),02E2,Structure & Appr Grading,Structure & Appr Grading,McCook,,Structure 1.5 miles south & 6.1 miles east of Canistota over the East Fork of the Vermillion River,
sd_sddot_20190220_item_007_project_001,sd_sddot_20190220_item_007,NH 0079(73)35,05DQ,Polymer Deck Seals & Structure Repair,Polymer Deck Seals & Structure Repair,Custer,,"Structures on SD79N & S, 2.7 miles north of the Fall River County Line over Beaver Creek & on SD40, 4.4 miles west of SD79 over Battle Creek",
sd_sddot_20190220_item_007_project_002,sd_sddot_20190220_item_007,P 0040(235)43,05DR,Polymer Deck Seals & Structure Repair,Polymer Deck Seals & Structure Repair,Custer,,"Structures on SD79N & S, 2.7 miles north of the Fall River County Line over Beaver Creek & on SD40, 4.4 miles west of SD79 over Battle Creek",
sd_sddot_20190220_item_008_project_001,sd_sddot_20190220_item_008,IM-PH 0294(71)121,05FF,Polymer & High Friction Seals,Polymer & High Friction Seals,"Brookings, Moody",,I29 NBL & SBL from Exit 121 to 2 miles south of Exit 133,
sd_sddot_20190220_item_009_project_001,sd_sddot_20190220_item_009,NH 0014(240)414,072F,Cold Mill & AC Resurf of Shoulders,Cold Mill & AC Resurf of Shoulders,Brookings,,US14 E&W from Volga to Brookings & US14 from Bushnell to the MN State Line,
sd_sddot_20190220_item_010_project_001,sd_sddot_20190220_item_010,P 0248(14)162,072T,AC Resurfacing,AC Resurfacing,"Jackson, Jones",,SD248 from Kadoka to Murdo,
sd_sddot_20190220_item_011_project_001,sd_sddot_20190220_item_011,P 0041(160),05Y8,Asphalt Surface Treatment,Asphalt Surface Treatment,Pennington,,Various Routes in the Rapid City Area,
sd_sddot_20190220_item_012_project_001,sd_sddot_20190220_item_012,NH-P 0021(165),05Y5,Asphalt Surface Treatment,Asphalt Surface Treatment,"Aurora, Charles Mix, Douglas, Gregory, Hanson, Hutchinson, Jerauld, Sanborn",,Various Routes in the Mitchell Area,
sd_sddot_20190306_item_001_project_001,sd_sddot_20190306_item_001,NH-P 0011(00)77,04PE,ADA & Traffic Signal Upgrades,ADA & Traffic Signal Upgrades,Minnehaha,,SD11 through Brandon,
sd_sddot_20190306_item_002_project_001,sd_sddot_20190306_item_002,BRO 8058(00),05LY,Structure & Approach Grading,Structure & Approach Grading,Spink,,"162nd St, 2.2 miles north & 0.1 mile east of Athol over Snake Creek",
sd_sddot_20190306_item_003_project_001,sd_sddot_20190306_item_003,PH 0010(128),05W9,Intersection Sight Distance Improvements,Intersection Sight Distance Improvements,"Beadle, Brookings, Brown, Clark, Day, Deuel, Edmunds, Faulk, Grant, Hamlin, Marshall, McPherson, Miner, Roberts, Sanborn, Spink",,Various Locations in the Aberdeen Region,
sd_sddot_20190306_item_004_project_001,sd_sddot_20190306_item_004,P 6209(11),042U,"Grading, Gravel Surfacing, & AC Resurf","Grading, Gravel Surfacing, & AC Resurf",Faulk,,Co. Hwy 11 (Wecota Road) from US212 at Faulkton to SD20,
sd_sddot_20190306_item_005_project_001,sd_sddot_20190306_item_005,IM 0904(62)210,067N,AC Resufacing & Bridge Rehab,AC Resufacing & Bridge Rehab,Lyman,,I90 EBL & WBL from 2 miles west of Exit 212 to 0.6 miles east of Exit 226,
sd_sddot_20190306_item_006_project_001,sd_sddot_20190306_item_006,NH 0018(201)62,04WL,"Cold Mill AC, AC Resuf, & Culvert Work","Cold Mill AC, AC Resuf, & Culvert Work","Fall River, Oglala Lakota",,US18 from the south junction with US385 to Oglala,
sd_sddot_20190306_item_007_project_001,sd_sddot_20190306_item_007,P 0020(145)240,03T1,"Cold Mill AC, AC Resurfacing & Pipe Work","Cold Mill AC, AC Resurfacing & Pipe Work",Walworth,,SD20 from US83 to Hoven,
sd_sddot_20190306_item_008_project_001,sd_sddot_20190306_item_008,PP 0010(136)321,066G,Railroad Crossing Improvements,Railroad Crossing Improvements,Marshall,,Railroad Crossings on SD10 & SD27 in Britton,
sd_sddot_20190306_item_008_project_002,sd_sddot_20190306_item_008,PP-PS 0027(11)230,06K1,Railroad Crossing Improvements,Railroad Crossing Improvements,Marshall,,Railroad Crossings on SD10 & SD27 in Britton,
sd_sddot_20190306_item_008_project_003,sd_sddot_20190306_item_008,PS 8046(05),070K,Railroad Crossing Improvements,Railroad Crossing Improvements,Marshall,,Railroad Crossings on SD10 & SD27 in Britton,
sd_sddot_20190306_item_009_project_001,sd_sddot_20190306_item_009,IM-NH-P 0022(60),05L6,Asphalt Surface Treatment (Chip Seal),Asphalt Surface Treatment (Chip Seal),"Brookings, Kingsbury, Lincoln, Miner, Minnehaha, Moody",,Various Routes in the Sioux Falls Area,
sd_sddot_20190306_item_010_project_001,sd_sddot_20190306_item_010,P 0021(166),05XX,Asphalt Concrete Crack Sealing,Asphalt Concrete Crack Sealing,"Buffalo, Clay, Douglas, Hutchinson, McCook, Union",,Various Routes in the Mitchell & Yankton Areas,
sd_sddot_20190306_item_010_project_002,sd_sddot_20190306_item_010,NH-P 0023(50),05Y0,Asphalt Concrete Crack Sealing,Asphalt Concrete Crack Sealing,"Buffalo, Clay, Douglas, Hutchinson, McCook, Union",,Various Routes in the Mitchell & Yankton Areas,
sd_sddot_20190306_item_011_project_001,sd_sddot_20190306_item_011,IM 0907(84)281,0647,Pavement Grinding,Pavement Grinding,"Aurora, Brule",,I90 EBL from White Lake to Plankinton & I90 WBL west of Kimball,
sd_sddot_20190320_item_001_project_001,sd_sddot_20190320_item_001,P 00SW(00),065G,Wetland Bank Site Construction,Wetland Bank Site Construction,Turner,,3 miles east & 0.5 mile north of Davis,
sd_sddot_20190320_item_002_project_001,sd_sddot_20190320_item_002,NH-P 0040(316),05XV,Asphalt Concrete Crack Sealing,Asphalt Concrete Crack Sealing,"Butte, Harding, Pennington",,Various Routes in the Rapid City Region,
sd_sddot_20190320_item_003_project_001,sd_sddot_20190320_item_003,P 0010(159)321,06QG,Cold Mill & AC Resurfacing,Cold Mill & AC Resurfacing,Marshall,,SD10 from Britton east 11 miles,
sd_sddot_20190320_item_004_project_001,sd_sddot_20190320_item_004,NH 0012(207)248,05E2,"Cold Mill AC, AC Resurf, & Culverts","Cold Mill AC, AC Resurf, & Culverts",Edmunds,,US12 from Roscoe to Ipswich,
sd_sddot_20190320_item_005_project_001,sd_sddot_20190320_item_005,IM-P 0012(217),05Y9,Asphalt Surface Treatment,Asphalt Surface Treatment,"Brookings, Clark, Codington, Grant, Hamlin, Roberts",,Various Routes in the Watertown Area,
sd_sddot_20190320_item_006_project_001,sd_sddot_20190320_item_006,NH-P 0031(38),05Y7,Asphalt Surface Treatment,Asphalt Surface Treatment,"Haakon, Hughes, Jackson, Potter, Stanley, Sully",,Various Routes in the Pierre Area,
sd_sddot_20190320_item_007_project_001,sd_sddot_20190320_item_007,PH 000S(392),06NE,High Friction Surface Treatment,High Friction Surface Treatment,"Day, Minnehaha",,Various Locations in the Aberdeen and Mitchell Regions,
sd_sddot_20190320_item_008_project_001,sd_sddot_20190320_item_008,NH-P 0023(37),041Q,Culvert Repair,Culvert Repair,"Bon Homme, Charles Mix, Hutchinson, Yankton Project Rejected/Withdrawn by the Transportation Commission",,Various Locations in the Yankton Area,
sd_sddot_20190320_item_009_project_001,sd_sddot_20190320_item_009,IM-NH-P 0022(44),041K,Culvert Repair,Culvert Repair,"Lake, Minnehaha, Moody",,Various Locations in the Sioux Falls Area,
sd_sddot_20190327_item_001_project_001,sd_sddot_20190327_item_001,NH 014A(00)401,074L,Traffic Signals & ADA Upgrades,Traffic Signals & ADA Upgrades,Lawrence,,Intersection of US14A & Deadwood Street in Deadwood,
sd_sddot_20190403_item_001_project_001,sd_sddot_20190403_item_001,P 000S(00)219,04LU,County Pavement Marking,County Pavement Marking,Regionwide,,Various Locations in the Rapid City Region,
sd_sddot_20190403_item_002_project_001,sd_sddot_20190403_item_002,P 000S(00)220,04LV,County Pavement Marking,County Pavement Marking,Regionwide,,Various Locations in the Aberdeen Region,
sd_sddot_20190403_item_003_project_001,sd_sddot_20190403_item_003,NH-P 0031(39),05XY,Asphalt Concrete Crack Sealing,Asphalt Concrete Crack Sealing,"Haakon, Hughes, Jackson, Lyman, Stanley",,Various Routes in the Pierre Area,
sd_sddot_20190403_item_004_project_001,sd_sddot_20190403_item_004,BRO 8018(07),03GR,Structure & Approach Grading,Structure & Approach Grading,Davison,,Structure 4 miles west & 2.4 miles south of Ethanl over South Fork of Twelve Mile Creek,
sd_sddot_20190403_item_005_project_001,sd_sddot_20190403_item_005,BRF 6358(04),01WJ,Structure & Approach Grading,Structure & Approach Grading,Turner,,Structure 3 miles south & 1.7 miles west of Chancellor over the Vermillion River,
sd_sddot_20190403_item_006_project_001,sd_sddot_20190403_item_006,P 1804(47)250,04X3,Cold Mill AC & AC Resurfacing,Cold Mill AC & AC Resurfacing,"Hughes, Stanley, Sully",,SD1804 from US14 north 14.6 miles; & SD204 from SD1806 to SD1804,
sd_sddot_20190403_item_006_project_002,sd_sddot_20190403_item_006,P 0204(06)178,05EA,Cold Mill AC & AC Resurfacing,Cold Mill AC & AC Resurfacing,"Hughes, Stanley, Sully",,SD1804 from US14 north 14.6 miles; & SD204 from SD1806 to SD1804,
sd_sddot_20190403_item_007_project_001,sd_sddot_20190403_item_007,P 0020(166)41,05EU,"Cold Mill AC, AC Resurf & Pipe work","Cold Mill AC, AC Resurf & Pipe work","Harding, Perkins",,SD20 - Fm 10 W of the W SD79 Junction to Priaire City & SD79 - Fm 15 N of the E SD20 Jct to the ND State Line,
sd_sddot_20190403_item_007_project_002,sd_sddot_20190403_item_007,P 0079(78)219,05UU,"Cold Mill AC, AC Resurf & Pipe work","Cold Mill AC, AC Resurf & Pipe work","Harding, Perkins",,SD20 - Fm 10 W of the W SD79 Junction to Priaire City & SD79 - Fm 15 N of the E SD20 Jct to the ND State Line,
sd_sddot_20190403_item_008_project_001,sd_sddot_20190403_item_008,NH-P 0013(47),05Y4,Asphalt Surface Treatment,Asphalt Surface Treatment,"Beadle, Clark, Sanborn, Spink",,Various Routes in the Huron Area,
sd_sddot_20190403_item_009_project_001,sd_sddot_20190403_item_009,NH-P 0032(31),05Y6,Asphalt Surface Treatment,Asphalt Surface Treatment,"Campbell, Edmunds, Walworth, Ziebach",,Various Routes in the Mobridge Area,
sd_sddot_20190403_item_010_project_001,sd_sddot_20190403_item_010,NH-P 0023(51),05YC,Asphalt Surface Treatment,Asphalt Surface Treatment,"Bon Homme, Hutchinson, Turner, Union, Yankton",,Various Routes in the Yankton Area,
sd_sddot_20190403_item_011_project_001,sd_sddot_20190403_item_011,NH-P 0011(109),05YD,PCC Pavement Restoration,PCC Pavement Restoration,"Brown, Day, Faulk",,Various Routes in the Aberdeen Area,
sd_sddot_20190403_item_011_project_002,sd_sddot_20190403_item_011,012 E-151,I5DJ,PCC Pavement Restoration,PCC Pavement Restoration,"Brown, Day, Faulk",,Various Routes in the Aberdeen Area,
sd_sddot_20190403_item_012_project_001,sd_sddot_20190403_item_012,PH 0040(221),04HX,Sprayable Durable Pavement Marking,Sprayable Durable Pavement Marking,"Custer, Lawrence, Pennington",,Various locations in the Rapid City Region,
sd_sddot_20190410_item_001_project_001,sd_sddot_20190410_item_001,P 0010(91)358,028U,"Grading, AC Surf, RCBC & Roundabouts","Grading, AC Surf, RCBC & Roundabouts",Roberts,,"SD10 from the west city limits in Sisseton, east to SD127",
sd_sddot_20190410_item_002_project_001,sd_sddot_20190410_item_002,A 6380( ),X04V,Sanitary Sewer and Water Main,Sanitary Sewer and Water Main,Roberts,,SD10 from the west city limits to 458th Ave (8th Ave) in Sisseton,
sd_sddot_20190410_item_003_project_001,sd_sddot_20190410_item_003,NH 0212(192)87,04WR,AC Resurfacing,AC Resurfacing,Meade,,US212 from the junction of Maurine Rd/Bixby Rd to Faith,
sd_sddot_20190410_item_004_project_001,sd_sddot_20190410_item_004,NH 0018(220)0,06X6,"Crack & Seat PCCP, & AC Surfacing","Crack & Seat PCCP, & AC Surfacing",Fall River,,US18 from the Wyoming State Line to west of Edgemont,
sd_sddot_20190417_item_001_project_001,sd_sddot_20190417_item_001,P 000S(00)229,04LW,County Pavement Marking,County Pavement Marking,Regionwide,,Various Locations in the Mitchell Region,
sd_sddot_20190417_item_002_project_001,sd_sddot_20190417_item_002,P 000S(00)226,04LX,County Pavement Marking,County Pavement Marking,Regionwide,,Various Locations in the Pierre Region,
sd_sddot_20190417_item_003_project_001,sd_sddot_20190417_item_003,BRO 8052(00)16-1,05R1,Bridge Deck Overlay & Structure Repair,Bridge Deck Overlay & Structure Repair,Pennington,,Structure 0.1 mile north of Omaha St over Rapid Creek in Rapid City,
sd_sddot_20190417_item_004_project_001,sd_sddot_20190417_item_004,BRF 6472(00)17-1,06HU,Structure & Approach Grading,Structure & Approach Grading,Brown,,Structure 3 miles south & 1 mile east of Westport on 123rd St. over the Elm River,
sd_sddot_20190417_item_005_project_001,sd_sddot_20190417_item_005,P 0ENH(216),03L2,Streetscape,Streetscape,Pennington,,Main Street in Hill City,
sd_sddot_20190417_item_006_project_001,sd_sddot_20190417_item_006,NH 0014(213)415,05DA,Structure Repair,Structure Repair,"Brookings, Deuel Project Rejected/Withdrawn by the Transportation Commission",,"Structures on US14, 1.9 miles east of Volga; US14B near Brookings & SD22 8.7, 9.3, & 11.4 miles east of SD15",
sd_sddot_20190417_item_006_project_002,sd_sddot_20190417_item_006,NH 014B(172)419,05DC,Structure Repair,Structure Repair,"Brookings, Deuel Project Rejected/Withdrawn by the Transportation Commission",,"Structures on US14, 1.9 miles east of Volga; US14B near Brookings & SD22 8.7, 9.3, & 11.4 miles east of SD15",
sd_sddot_20190417_item_006_project_003,sd_sddot_20190417_item_006,P 0022(59)379,05DD,Structure Repair,Structure Repair,"Brookings, Deuel Project Rejected/Withdrawn by the Transportation Commission",,"Structures on US14, 1.9 miles east of Volga; US14B near Brookings & SD22 8.7, 9.3, & 11.4 miles east of SD15",
sd_sddot_20190417_item_007_project_001,sd_sddot_20190417_item_007,NH 0014(209)190,04WK,"Cold Mill AC, AC Resurf, & Culverts","Cold Mill AC, AC Resurf, & Culverts","Haakon, Stanley",,"US14 from SD34 to east of Hayes, SD34 16 miles west of US14, SD34 at the junction of US14, & SD63 2.1 miles south of the Ziebach Co. Line",
sd_sddot_20190417_item_007_project_002,sd_sddot_20190417_item_007,NH 0034(186)154,05TN,"Cold Mill AC, AC Resurf, & Culverts","Cold Mill AC, AC Resurf, & Culverts","Haakon, Stanley",,"US14 from SD34 to east of Hayes, SD34 16 miles west of US14, SD34 at the junction of US14, & SD63 2.1 miles south of the Ziebach Co. Line",
sd_sddot_20190417_item_007_project_003,sd_sddot_20190417_item_007,P 0063(58)142,05DY,"Cold Mill AC, AC Resurf, & Culverts","Cold Mill AC, AC Resurf, & Culverts","Haakon, Stanley",,"US14 from SD34 to east of Hayes, SD34 16 miles west of US14, SD34 at the junction of US14, & SD63 2.1 miles south of the Ziebach Co. Line",
sd_sddot_20190417_item_008_project_001,sd_sddot_20190417_item_008,NH-P 0011(110),05XU,Asphalt Concrete Crack Sealing,Asphalt Concrete Crack Sealing,"Brown, Day, Edmunds, McPherson",,Various Routes in the Aberdeen Area,
sd_sddot_20190417_item_009_project_001,sd_sddot_20190417_item_009,P 0013(48),05XW,Asphalt Concrete Crack Sealing,Asphalt Concrete Crack Sealing,"Buffalo, Hand",,SD Highway 45 from 1 mile south of the County Line north to the Jct with 208th Street,
sd_sddot_20190417_item_010_project_001,sd_sddot_20190417_item_010,NH 0083(82)25,03RR,"Cold Mill AC, AC Resurf, & Berm Repair","Cold Mill AC, AC Resurf, & Berm Repair","Bennett, Mellette, Todd",,"US83 from the west junction of US18 to the north junction of SD44, & US18 from the Bennett Co. Line to east of Mission.",
sd_sddot_20190417_item_010_project_002,sd_sddot_20190417_item_010,NH 0018(208)175,05TM,"Cold Mill AC, AC Resurf, & Berm Repair","Cold Mill AC, AC Resurf, & Berm Repair","Bennett, Mellette, Todd",,"US83 from the west junction of US18 to the north junction of SD44, & US18 from the Bennett Co. Line to east of Mission.",
sd_sddot_20190417_item_011_project_001,sd_sddot_20190417_item_011,IM 0908(96)334,06J4,Resurf Existing & Construct Crossovers,Resurf Existing & Construct Crossovers,"Davison, Hanson, McCook, Minnehaha",,I90 at Various Locations from east of the Davision/Hanson County Line to west of the Humboldt Exit,
sd_sddot_20190501_item_001_project_001,sd_sddot_20190501_item_001,PH 1400(17),00YE,Intersection Reconstruction,Intersection Reconstruction,Minnehaha Project Rejected/Withdrawn by the Transportation Commission,,Intersection of Western & 41st St. in Sioux Falls,
sd_sddot_20190501_item_002_project_001,sd_sddot_20190501_item_002,CIP 11012( ),X04U,Sanitary Sewer and Watermain,Sanitary Sewer and Watermain,Minnehaha Project Rejected/Withdrawn by the Transportation Commission,,City of Sioux Falls at the intersection of Western Ave & 41st St,
sd_sddot_20190501_item_003_project_001,sd_sddot_20190501_item_003,P TAPR(06),04UD,Sidewalk,Sidewalk,Jones,,"Various locations along 4th Street, Cleveland Avenue, and Jackson Avenue in Murdo",
sd_sddot_20190501_item_004_project_001,sd_sddot_20190501_item_004,P TAPR(21),05N0,Sidewalk & Curb & Gutter,Sidewalk & Curb & Gutter,Jones,,"Various Locations on Clevland Avenue, 3rd Street & Jackson Avenue in Murdo",
sd_sddot_20190501_item_005_project_001,sd_sddot_20190501_item_005,P TAPU(21),06N6,Shared Use Path,Shared Use Path,Union Project Rejected/Withdrawn by the Transportation Commission,,North Sioux City along Streeter Drive between River Drive & Bruneau Drive,
sd_sddot_20190501_item_006_project_001,sd_sddot_20190501_item_006,NH 0014(214)346,05DE,Polymer Chip Seals & Appr Slabs,Polymer Chip Seals & Appr Slabs,Beadle Project Rejected/Withdrawn by the Transportation Commission,,"US14, 14E & 14W; Structures 0.5 miles east of SD37 Over Ravine Lake (2), 1.3 miles east of SD37 over the James River, 1.4 miles east of SD37 (Commercial Route), 2.8 miles east of Cavour over Pearl Crk, & 2.7 miles west of Iroquois",
sd_sddot_20190501_item_007_project_001,sd_sddot_20190501_item_007,IM-NH-P 0021(151),041F,Culvert Repair,Culvert Repair,"Davison, McCook",,Various Locations in the Mitchell Area,
sd_sddot_20190501_item_008_project_001,sd_sddot_20190501_item_008,IM 0901(199)10,072C,Erosion Repair,Erosion Repair,"Lawrence, Meade, Pennington",,Various locations on I90 in the Rapid City Region,
